City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vadso,70.0744,29.7487,1.09,80,40,6.69,NO,2023-11-01 09:44:20
1,blackmans bay,-43.0167,147.3167,13.07,66,1,0.45,AU,2023-11-01 09:44:20
2,susuman,62.7833,148.1667,-19.38,99,79,1.09,RU,2023-11-01 09:44:20
3,aqaba,29.5267,35.0078,30.92,33,0,4.12,JO,2023-11-01 09:40:19
4,port-aux-francais,-49.35,70.2167,4.02,93,100,7.52,TF,2023-11-01 09:44:21
5,ribeira grande,38.5167,-28.7,20.43,88,75,8.23,PT,2023-11-01 09:44:21
6,peniche,39.3558,-9.3811,19.5,88,88,5.1,PT,2023-11-01 09:44:22
7,la'ie,21.6477,-157.9253,25.98,84,0,1.32,US,2023-11-01 09:44:22
8,murzuq,25.9155,13.9184,27.96,23,0,4.32,LY,2023-11-01 09:44:22
9,rio grande,-32.035,-52.0986,17.19,83,100,7.95,BR,2023-11-01 09:44:22
10,tazovsky,67.4667,78.7,-12.91,92,99,4.55,RU,2023-11-01 09:44:23
11,tura,25.5198,90.2201,27.05,70,2,1.23,IN,2023-11-01 09:44:23
12,patterson,37.4716,-121.1297,12.81,31,6,1.15,US,2023-11-01 09:44:23
13,yellowknife,62.456,-114.3525,-4.71,80,100,2.06,CA,2023-11-01 09:44:23
14,college,64.8569,-147.8028,1.0,82,75,1.54,US,2023-11-01 09:43:22
15,hithadhoo,-0.6,73.0833,27.24,80,96,5.21,MV,2023-11-01 09:44:24
16,gereida,11.2811,25.1414,29.94,40,100,3.67,SD,2023-11-01 09:44:24
17,daru,-9.0763,143.2092,25.33,84,52,6.32,PG,2023-11-01 09:44:25
18,bethel,41.3712,-73.414,5.67,84,100,1.54,US,2023-11-01 09:44:25
19,toliara,-23.35,43.6667,29.31,53,89,4.06,MG,2023-11-01 09:44:25
20,ilulissat,69.2167,-51.1,6.01,39,84,13.89,GL,2023-11-01 09:44:25
21,edinburgh of the seven seas,-37.0676,-12.3116,14.15,92,49,5.24,SH,2023-11-01 09:44:26
22,tolanaro,-25.0319,46.9987,24.04,94,75,7.2,MG,2023-11-01 09:44:26
23,leh,34.1667,77.5833,6.27,28,31,2.25,IN,2023-11-01 09:44:26
24,gandia,38.9667,-0.1833,24.54,45,25,5.81,ES,2023-11-01 09:44:27
25,mejit,10.2753,170.8646,27.74,82,99,7.32,MH,2023-11-01 09:44:27
26,ambodifotatra,-16.9833,49.85,26.14,71,7,3.23,MG,2023-11-01 09:44:27
27,al jawf,29.5,38.75,26.33,35,19,0.91,SA,2023-11-01 09:44:28
28,iqaluit,63.7506,-68.5145,-7.15,86,100,12.86,CA,2023-11-01 09:41:17
29,digboi,27.3833,95.6333,25.99,71,1,0.73,IN,2023-11-01 09:44:28
30,anadyr,64.75,177.4833,-8.72,100,0,4.0,RU,2023-11-01 09:44:29
31,albany,42.6001,-73.9662,3.15,81,99,0.23,US,2023-11-01 09:44:29
32,vilyuchinsk,52.9306,158.4028,2.18,80,94,1.3,RU,2023-11-01 09:44:29
33,puerto ayora,-0.7393,-90.3518,23.64,95,58,0.89,EC,2023-11-01 09:44:30
34,port elizabeth,-33.918,25.5701,21.29,66,75,8.23,ZA,2023-11-01 09:44:30
35,barcelos,41.5388,-8.6151,18.08,71,98,3.15,PT,2023-11-01 09:44:30
36,shetpe,44.1667,52.1167,19.04,22,12,7.91,KZ,2023-11-01 09:44:30
37,waitangi,-43.9535,-176.5597,13.23,97,100,5.81,NZ,2023-11-01 09:44:31
38,coron,11.9986,120.2043,26.4,88,100,3.48,PH,2023-11-01 09:44:31
39,plastun,44.7561,136.2939,6.43,59,100,4.29,RU,2023-11-01 09:44:31
40,sinabang,2.4803,96.3801,27.1,78,78,1.98,ID,2023-11-01 09:44:32
41,humaita,-7.5061,-63.0208,24.41,70,90,0.3,BR,2023-11-01 09:44:32
42,trincomalee,8.5711,81.2335,28.4,75,94,3.71,LK,2023-11-01 09:44:32
43,longyearbyen,78.2186,15.6401,-10.09,73,0,2.57,SJ,2023-11-01 09:44:33
44,forster,-32.1667,152.5167,17.38,87,47,2.31,AU,2023-11-01 09:42:38
45,grytviken,-54.2811,-36.5092,1.99,74,75,3.75,GS,2023-11-01 09:44:34
46,valparaiso,-33.0393,-71.6273,7.8,87,0,2.06,CL,2023-11-01 09:42:02
47,karaj,35.8355,51.0103,19.88,32,75,3.09,IR,2023-11-01 09:44:34
48,papatowai,-46.5619,169.4708,9.82,97,100,0.73,NZ,2023-11-01 09:44:34
49,avarua,-21.2078,-159.775,23.03,78,100,4.12,CK,2023-11-01 09:44:35
50,dapa,9.7594,126.0531,28.58,78,10,3.89,PH,2023-11-01 09:44:35
51,hawaiian paradise park,19.5933,-154.9731,22.8,89,40,2.06,US,2023-11-01 09:44:35
52,isafjordur,66.0755,-23.124,-2.98,86,0,0.0,IS,2023-11-01 09:44:36
53,sortavala,61.7053,30.6918,-1.66,78,100,2.24,RU,2023-11-01 09:44:36
54,araxa,-19.5933,-46.9406,18.98,100,0,2.57,BR,2023-11-01 09:44:37
55,olonkinbyen,70.9221,-8.7187,1.69,75,100,3.44,SJ,2023-11-01 09:44:37
56,cidreira,-30.1811,-50.2056,18.47,89,98,7.03,BR,2023-11-01 09:44:37
57,jiaozuo,35.2397,113.2331,25.2,38,0,2.16,CN,2023-11-01 09:44:38
58,adamstown,-25.066,-130.1015,22.02,78,9,6.08,PN,2023-11-01 09:44:38
59,belgrade,44.804,20.4651,16.85,61,0,2.57,RS,2023-11-01 09:44:38
60,tari,12.4086,4.4914,34.61,14,58,6.05,NG,2023-11-01 09:44:38
61,zemoura,35.7225,0.7551,21.22,57,100,4.2,DZ,2023-11-01 09:44:39
62,fale old settlement,-9.3852,-171.2468,28.49,73,100,4.4,TK,2023-11-01 09:44:39
63,inari,68.906,27.0288,-9.89,91,46,1.46,FI,2023-11-01 09:44:40
64,udachny,66.4167,112.4,-25.31,75,87,2.22,RU,2023-11-01 09:44:40
65,badger,64.8,-147.5333,0.95,85,0,1.54,US,2023-11-01 09:44:40
66,puerto natales,-51.7236,-72.4875,-0.54,91,70,1.57,CL,2023-11-01 09:44:40
67,kiunga,-6.1219,141.2906,24.01,97,99,1.09,PG,2023-11-01 09:44:41
68,atafu village,-8.5421,-172.5159,28.69,74,100,6.39,TK,2023-11-01 09:44:41
69,whitehorse,60.7161,-135.0538,0.43,93,100,2.57,CA,2023-11-01 09:44:41
70,puerto san jose,13.9256,-90.8244,23.18,84,100,3.22,GT,2023-11-01 09:44:42
71,ghat,24.9647,10.1728,28.02,19,2,4.94,LY,2023-11-01 09:44:42
72,utrik,11.2278,169.8474,27.93,80,59,7.53,MH,2023-11-01 09:44:42
73,mossel bay,-34.1831,22.146,19.96,76,96,7.28,ZA,2023-11-01 09:44:42
74,codrington,-38.2667,141.9667,9.56,87,36,3.58,AU,2023-11-01 09:44:43
75,general roca,-39.0333,-67.5833,6.46,94,100,8.63,AR,2023-11-01 09:44:43
76,kodiak,57.79,-152.4072,7.73,100,100,8.23,US,2023-11-01 09:44:43
77,jamestown,42.097,-79.2353,0.77,100,100,3.09,US,2023-11-01 09:43:00
78,rikaze,29.25,88.8833,11.62,19,100,2.24,CN,2023-11-01 09:44:44
79,invercargill,-46.4,168.35,10.57,95,83,1.79,NZ,2023-11-01 09:41:17
80,yelizovo,53.1873,158.3805,2.11,80,75,1.0,RU,2023-11-01 09:44:45
81,qaqortoq,60.7167,-46.0333,0.52,100,100,0.99,GL,2023-11-01 09:44:45
82,eureka,40.8021,-124.1637,7.66,55,95,1.46,US,2023-11-01 09:44:45
83,saldanha,-33.0117,17.9442,32.03,43,100,0.68,ZA,2023-11-01 09:44:45
84,wailua homesteads,22.0669,-159.378,22.24,82,0,4.12,US,2023-11-01 09:44:46
85,kavaratti,10.5669,72.642,28.74,68,63,2.31,IN,2023-11-01 09:44:46
86,obo,5.3998,26.4869,31.21,52,99,1.47,CF,2023-11-01 09:44:46
